count,noindex,index
1,297.0177857142857,0.0242
2,639.75775,0.02125
3,1428.956,0.02415
4,1749.4938750000001,0.021777777777777778
5,2334.166,0.027263157894736843
6,3223.53475,0.022
7,2772.643882352941,0.019411764705882354
8,3584.451375,0.03673684210526316
9,3625.9041176470587,0.0254
10,3854.446882352941,0.022055555555555554
11,5019.594588235294,0.026473684210526316
12,4721.5918125,0.024166666666666666
13,4914.484,0.0323
14,5587.6199375,0.02531578947368421
15,5590.4495625,0.02457894736842105
16,6211.206764705882,0.03286666666666667
17,6989.7963125,0.026333333333333334
18,7082.106588235294,0.021333333333333333
19,7360.4064375,0.02642857142857143
20,8071.3036875,0.02661111111111111
21,8496.0393125,0.023
22,8660.53925,0.020055555555555556
23,9165.9249375,0.022157894736842106
24,9642.04125,0.024277777777777777
25,9609.5840625,0.021588235294117648
26,10329.25625,0.025
27,10629.777,0.022631578947368423
28,10922.185125,0.02494736842105263
29,11574.636,0.025
30,10040.0225,0.021222222222222222
31,10104.1779375,0.023842105263157894
32,10363.2308125,0.023166666666666665
33,11026.86,0.022842105263157893
34,11658.463187500001,0.029526315789473685
35,12255.68225,0.025
36,12011.784,0.024263157894736844
37,12188.4051875,0.0254
38,12548.7924375,0.026055555555555554
39,12753.408374999999,0.024333333333333332
40,13096.1780625,0.0312
